review_id,k,grade,n_pathologies,pathologies,theta_original,theta_corrected,correction_pct,n_modes,n_outliers,bias_detected,stability,pct_sampling,pct_heterogeneity,pct_model,pct_bias,pct_outlier
CD015536,10,A,0,,-0.4173,-0.4173,0.0,1,0,False,100.0,20.2,79.7,0.1,0.0,0.0
CD015584,13,D,2,multimodal;pub bias,0.0115,-0.0119,203.4,2,0,True,100.0,4.6,21.1,0.4,73.9,0.0
CD015588,16,B,1,multimodal,-0.1581,-0.1508,4.6,2,0,False,100.0,25.3,71.3,1.0,2.4,0.0
CD015636,5,B,1,pub bias,-1.4275,-1.4364,0.6,1,0,True,100.0,98.4,0.0,0.0,1.6,0.0
CD015673,14,B,1,multimodal,-0.1174,-0.1174,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD015721,6,D,2,multimodal;unstable,0.0161,-0.0065,140.4,2,0,False,50.0,21.3,36.5,3.3,38.9,0.0
CD015746,6,B,0,,-1.6091,-1.5229,5.4,1,0,False,100.0,19.6,68.9,0.8,10.7,0.0
CD015779,6,C,2,multimodal;pub bias,-0.9324,-0.9324,0.0,2,0,True,100.0,100.0,0.0,0.0,0.0,0.0
CD015786,10,D,1,multimodal,-1.3609,-2.2406,64.6,2,0,False,100.0,6.5,0.0,0.0,93.5,0.0
CD015788,8,D,2,pub bias;unstable,0.1667,0.0719,56.9,1,0,True,50.0,8.3,39.9,3.0,48.9,0.0
CD015804,8,B,1,multimodal,-0.0293,-0.0322,9.9,2,0,False,100.0,75.8,21.5,0.0,2.7,0.0
CD015824,5,B,1,multimodal,-0.6349,-0.6349,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD015849,7,B,1,multimodal,-0.164,-0.164,0.0,2,0,False,75.0,41.2,58.7,0.1,0.0,0.0
CD015854,5,A,0,,-0.8275,-0.8275,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD015894,7,A,0,,-0.5632,-0.5632,0.0,1,0,False,100.0,19.1,80.9,0.0,0.0,0.0
CD015932,10,C,2,multimodal;3 outliers,-0.2841,-0.2794,1.6,2,3,False,100.0,10.1,70.3,2.4,9.7,7.5
CD016031,28,C,1,1 outliers,-0.2507,-0.1309,47.8,1,1,False,100.0,45.3,0.0,0.0,0.0,54.7
CD016064,5,D,1,pub bias,0.2913,0.0918,68.5,1,0,True,100.0,36.1,0.0,0.0,63.9,0.0
CD016119,16,C,0,,0.2936,0.3891,32.5,1,0,False,75.0,13.6,61.7,1.5,23.1,0.0
CD016131,5,A,0,,-0.3029,-0.3029,0.0,1,0,False,100.0,100.0,0.0,0.0,0.0,0.0
CD016136,30,B,1,4 outliers,0.9477,0.9163,3.3,1,4,False,100.0,4.7,93.2,0.9,0.0,1.2
CD016211,5,B,1,multimodal,-0.4165,-0.4165,0.0,2,0,False,100.0,100.0,0.0,0.0,0.0,0.0
